"CodigoBarras","ZCE","Categoria","Estado","Extension","Archivo","Carpeta","Ruta","Repeticiones"
"","ZCE-2185AO","2018","EN_USO",".jpg","745130421258.jpg","ZCE-2185AO","I:\PROYECTOS DE DISEÑO(ADOLFO)\(PIERRE ZEITOUNE) FERRETTI\ADOLFO CODIGOS DE BARRAS\2018\ZCE-2185AO\745130421258.jpg","0"
"","ZCE-2185AO","2018","EN_USO",".pdf","745130421258.pdf","ZCE-2185AO","I:\PROYECTOS DE DISEÑO(ADOLFO)\(PIERRE ZEITOUNE) FERRETTI\ADOLFO CODIGOS DE BARRAS\2018\ZCE-2185AO\745130421258.pdf","0"
"","ZCE-8885AP","2018","EN_USO",".jpg","745130421259.jpg","ZCE-8885AP","I:\PROYECTOS DE DISEÑO(ADOLFO)\(PIERRE ZEITOUNE) FERRETTI\ADOLFO CODIGOS DE BARRAS\2018\ZCE-8885AP\745130421259.jpg","0"
"","ZCE-8885AP","2018","EN_USO",".pdf","745130421259.pdf","ZCE-8885AP","I:\PROYECTOS DE DISEÑO(ADOLFO)\(PIERRE ZEITOUNE) FERRETTI\ADOLFO CODIGOS DE BARRAS\2018\ZCE-8885AP\745130421259.pdf","0"
"","ZCE-7453AQ","2018","EN_USO",".jpg","745130421260.jpg","ZCE-7453AQ","I:\PROYECTOS DE DISEÑO(ADOLFO)\(PIERRE ZEITOUNE) FERRETTI\ADOLFO CODIGOS DE BARRAS\2018\ZCE-7453AQ\745130421260.jpg","0"
"","ZCE-7453AQ","2018","EN_USO",".pdf","745130421260.pdf","ZCE-7453AQ","I:\PROYECTOS DE DISEÑO(ADOLFO)\(PIERRE ZEITOUNE) FERRETTI\ADOLFO CODIGOS DE BARRAS\2018\ZCE-7453AQ\745130421260.pdf","0"
"","","2018","EN_USO",".jpg","745130421285.jpg","Candado de Anticizalla","I:\PROYECTOS DE DISEÑO(ADOLFO)\(PIERRE ZEITOUNE) FERRETTI\ADOLFO CODIGOS DE BARRAS\2018\Candado de Anticizalla\745130421285.jpg","0"
"","","2018","EN_USO",".pdf","745130421285.pdf","Candado de Anticizalla","I:\PROYECTOS DE DISEÑO(ADOLFO)\(PIERRE ZEITOUNE) FERRETTI\ADOLFO CODIGOS DE BARRAS\2018\Candado de Anticizalla\745130421285.pdf","0"
"","","2018","EN_USO",".jpg","745130421286.jpg","Candado de Anticizalla","I:\PROYECTOS DE DISEÑO(ADOLFO)\(PIERRE ZEITOUNE) FERRETTI\ADOLFO CODIGOS DE BARRAS\2018\Candado de Anticizalla\745130421286.jpg","0"
"","","2018","EN_USO",".pdf","745130421286.pdf","Candado de Anticizalla","I:\PROYECTOS DE DISEÑO(ADOLFO)\(PIERRE ZEITOUNE) FERRETTI\ADOLFO CODIGOS DE BARRAS\2018\Candado de Anticizalla\745130421286.pdf","0"
